Name,BatchKeyPath,Description,BatchValueName,DisplayName,StartMode,ServiceType,NameKeyLastWrite,ParametersKeyLastWrite,Group,ImagePath,ServiceDLL,RequiredPrivileges
MMCSS,CMI-CreateHive{2A7FB991-7BBE-4F9D-B91E-7CB51D4737F5}\ControlSet001\services,"@%systemroot%\system32\mmcss.dll,-101",None,"@%systemroot%\system32\mmcss.dll,-100",Automatic,Win32ShareProcess,2009-07-14 04:49:01.6147883,2009-07-14 04:49:01.6147883,,%SystemRoot%\system32\svchost.exe -k netsvcs,%SystemRoot%\system32\mmcss.dll,SeIncreaseBasePriorityPrivilege SeImpersonatePrivilege
Modem,CMI-CreateHive{2A7FB991-7BBE-4F9D-B91E-7CB51D4737F5}\ControlSet001\services,,None,,Manual,KernelDriver,2009-07-14 04:49:01.6147883,,Extended base,system32\drivers\modem.sys,,
monitor,CMI-CreateHive{2A7FB991-7BBE-4F9D-B91E-7CB51D4737F5}\ControlSet001\services,,None,Microsoft Monitor Class Function Driver Service,Manual,KernelDriver,2025-03-10 05:59:13.7868110,2009-07-14 04:51:19.0822298,,system32\DRIVERS\monitor.sys,,
mouclass,CMI-CreateHive{2A7FB991-7BBE-4F9D-B91E-7CB51D4737F5}\ControlSet001\services,,None,Mouse Class Driver,Manual,KernelDriver,2025-03-10 05:59:07.5312000,,Pointer Class,system32\DRIVERS\mouclass.sys,,
mouhid,CMI-CreateHive{2A7FB991-7BBE-4F9D-B91E-7CB51D4737F5}\ControlSet001\services,,None,Mouse HID Driver,Manual,KernelDriver,2025-03-10 05:59:14.2860119,2009-07-14 04:49:01.6147883,Pointer Port,system32\DRIVERS\mouhid.sys,,
mountmgr,CMI-CreateHive{2A7FB991-7BBE-4F9D-B91E-7CB51D4737F5}\ControlSet001\services,"@%SystemRoot%\system32\drivers\mountmgr.sys,-101",None,"@%SystemRoot%\system32\drivers\mountmgr.sys,-100",Boot,KernelDriver,2025-03-10 05:59:07.5312000,,System Bus Extender,System32\drivers\mountmgr.sys,,
mpio,CMI-CreateHive{2A7FB991-7BBE-4F9D-B91E-7CB51D4737F5}\ControlSet001\services,,None,,Manual,KernelDriver,2025-02-05 01:01:09.9936413,,Boot Bus Extender,\SystemRoot\system32\drivers\mpio.sys,,
mpsdrv,CMI-CreateHive{2A7FB991-7BBE-4F9D-B91E-7CB51D4737F5}\ControlSet001\services,"@%SystemRoot%\system32\FirewallAPI.dll,-23093",None,"@%SystemRoot%\system32\FirewallAPI.dll,-23092",Manual,KernelDriver,2025-03-10 05:59:07.5312000,,network,System32\drivers\mpsdrv.sys,,
MpsSvc,CMI-CreateHive{2A7FB991-7BBE-4F9D-B91E-7CB51D4737F5}\ControlSet001\services,"@%SystemRoot%\system32\FirewallAPI.dll,-23091",None,"@%SystemRoot%\system32\FirewallAPI.dll,-23090",Automatic,Win32ShareProcess,2009-07-14 04:49:01.6147883,2009-07-14 04:49:01.6147883,NetworkProvider,%SystemRoot%\system32\svchost.exe -k LocalServiceNoNetwork,%SystemRoot%\system32\mpssvc.dll,SeAssignPrimaryTokenPrivilege SeAuditPrivilege SeChangeNotifyPrivilege SeCreateGlobalPrivilege SeImpersonatePrivilege SeIncreaseQuotaPrivilege
MRxDAV,CMI-CreateHive{2A7FB991-7BBE-4F9D-B91E-7CB51D4737F5}\ControlSet001\services,"@%systemroot%\system32\webclnt.dll,-105",None,"@%systemroot%\system32\webclnt.dll,-104",Manual,FileSystemDriver,2009-07-14 04:49:01.6147883,2009-07-14 04:49:01.6147883,,\SystemRoot\system32\drivers\mrxdav.sys,,
mrxsmb,CMI-CreateHive{2A7FB991-7BBE-4F9D-B91E-7CB51D4737F5}\ControlSet001\services,"@%systemroot%\system32\wkssvc.dll,-1003",None,"@%systemroot%\system32\wkssvc.dll,-1002",Manual,FileSystemDriver,2025-03-10 05:59:07.5312000,,Network,system32\DRIVERS\mrxsmb.sys,,
mrxsmb10,CMI-CreateHive{2A7FB991-7BBE-4F9D-B91E-7CB51D4737F5}\ControlSet001\services,"@%systemroot%\system32\wkssvc.dll,-1005",None,"@%systemroot%\system32\wkssvc.dll,-1004",Manual,FileSystemDriver,2025-03-10 05:59:07.5312000,,Network,system32\DRIVERS\mrxsmb10.sys,,
mrxsmb20,CMI-CreateHive{2A7FB991-7BBE-4F9D-B91E-7CB51D4737F5}\ControlSet001\services,"@%systemroot%\system32\wkssvc.dll,-1007",None,"@%systemroot%\system32\wkssvc.dll,-1006",Manual,FileSystemDriver,2025-03-10 05:59:07.5312000,,Network,system32\DRIVERS\mrxsmb20.sys,,
msahci,CMI-CreateHive{2A7FB991-7BBE-4F9D-B91E-7CB51D4737F5}\ControlSet001\services,,None,,Boot,KernelDriver,2025-03-10 05:59:08.4672017,,SCSI Miniport,system32\drivers\msahci.sys,,
msdsm,CMI-CreateHive{2A7FB991-7BBE-4F9D-B91E-7CB51D4737F5}\ControlSet001\services,,None,,Manual,KernelDriver,2025-02-05 01:01:09.9936413,2009-07-14 04:49:01.6147883,System Bus Extender,\SystemRoot\system32\drivers\msdsm.sys,,
MSDTC,CMI-CreateHive{2A7FB991-7BBE-4F9D-B91E-7CB51D4737F5}\ControlSet001\services,"@comres.dll,-2798",None,"@comres.dll,-2797",Manual,Win32OwnProcess,2009-07-14 04:49:01.6147883,,,%SystemRoot%\System32\msdtc.exe,,SeChangeNotifyPrivilege SeCreateGlobalPrivilege
MSDTC Bridge 3.0.0.0,CMI-CreateHive{2A7FB991-7BBE-4F9D-B91E-7CB51D4737F5}\ControlSet001\services,,None,,Disabled,Adapter,2009-07-14 04:49:01.6147883,,,,,
MSDTC Bridge 4.0.0.0,CMI-CreateHive{2A7FB991-7BBE-4F9D-B91E-7CB51D4737F5}\ControlSet001\services,,None,,Disabled,Adapter,2025-03-10 06:02:52.1911369,,,,,
Msfs,CMI-CreateHive{2A7FB991-7BBE-4F9D-B91E-7CB51D4737F5}\ControlSet001\services,,None,,System,FileSystemDriver,2025-03-10 05:59:07.5312000,,File system,,,
mshidkmdf,CMI-CreateHive{2A7FB991-7BBE-4F9D-B91E-7CB51D4737F5}\ControlSet001\services,"@%SystemRoot%\system32\drivers\mshidkmdf.sys,-101",None,"@%SystemRoot%\system32\drivers\mshidkmdf.sys,-100",Manual,KernelDriver,2009-07-14 04:49:01.6147883,,Base,\SystemRoot\System32\drivers\mshidkmdf.sys,,
msisadrv,CMI-CreateHive{2A7FB991-7BBE-4F9D-B91E-7CB51D4737F5}\ControlSet001\services,,None,,Boot,KernelDriver,2025-03-10 05:59:07.5312000,,Boot Bus Extender,system32\drivers\msisadrv.sys,,
MSiSCSI,CMI-CreateHive{2A7FB991-7BBE-4F9D-B91E-7CB51D4737F5}\ControlSet001\services,"@%SystemRoot%\system32\iscsidsc.dll,-5001",None,"@%SystemRoot%\system32\iscsidsc.dll,-5000",Manual,Win32ShareProcess,2009-07-14 04:49:01.6147883,2009-07-14 04:49:01.6147883,iSCSI,%systemroot%\system32\svchost.exe -k netsvcs,%systemroot%\system32\iscsiexe.dll,SeAuditPrivilege SeChangeNotifyPrivilege SeCreateGlobalPrivilege SeCreatePermanentPrivilege SeImpersonatePrivilege SeTcbPrivilege
msiserver,CMI-CreateHive{2A7FB991-7BBE-4F9D-B91E-7CB51D4737F5}\ControlSet001\services,"@%SystemRoot%\system32\msimsg.dll,-32",None,"@%SystemRoot%\system32\msimsg.dll,-27",Manual,Win32OwnProcess,2009-07-14 04:49:01.6147883,,,%systemroot%\system32\msiexec.exe /V,,SeTcbPrivilege SeCreatePagefilePrivilege SeLockMemoryPrivilege SeIncreaseBasePriorityPrivilege SeCreatePermanentPrivilege SeAuditPrivilege SeSecurityPrivilege SeChangeNotifyPrivilege SeProfileSingleProcessPrivilege SeImpersonatePrivilege SeCreateGlobalPrivilege SeAssignPrimaryTokenPrivilege SeRestorePrivilege SeIncreaseQuotaPrivilege SeShutdownPrivilege SeTakeOwnershipPrivilege SeLoadDriverPrivilege
MSKSSRV,CMI-CreateHive{2A7FB991-7BBE-4F9D-B91E-7CB51D4737F5}\ControlSet001\services,,None,Microsoft Streaming Service Proxy,Manual,KernelDriver,2025-02-05 01:02:08.5561441,,Extended Base,system32\drivers\MSKSSRV.sys,,
MSPCLOCK,CMI-CreateHive{2A7FB991-7BBE-4F9D-B91E-7CB51D4737F5}\ControlSet001\services,,None,Microsoft Streaming Clock Proxy,Manual,KernelDriver,2025-02-05 01:02:08.3689438,,Extended Base,system32\drivers\MSPCLOCK.sys,,
MSPQM,CMI-CreateHive{2A7FB991-7BBE-4F9D-B91E-7CB51D4737F5}\ControlSet001\services,,None,Microsoft Streaming Quality Manager Proxy,Manual,KernelDriver,2025-02-05 01:02:08.2597436,,Extended Base,system32\drivers\MSPQM.sys,,
MsRPC,CMI-CreateHive{2A7FB991-7BBE-4F9D-B91E-7CB51D4737F5}\ControlSet001\services,,None,,Manual,KernelDriver,2009-07-14 04:49:01.6147883,,,,,
MSSCNTRS,CMI-CreateHive{2A7FB991-7BBE-4F9D-B91E-7CB51D4737F5}\ControlSet001\services,,None,,Disabled,Adapter,2009-07-14 04:49:01.6147883,,,,,
mssmbios,CMI-CreateHive{2A7FB991-7BBE-4F9D-B91E-7CB51D4737F5}\ControlSet001\services,,None,Microsoft System Management BIOS Driver,System,KernelDriver,2025-03-10 05:59:13.1004098,,,system32\DRIVERS\mssmbios.sys,,
MSTEE,CMI-CreateHive{2A7FB991-7BBE-4F9D-B91E-7CB51D4737F5}\ControlSet001\services,,None,Microsoft Streaming Tee/Sink-to-Sink Converter,Manual,KernelDriver,2025-02-05 01:02:08.7121444,,Extended Base,system32\drivers\MSTEE.sys,,
MTConfig,CMI-CreateHive{2A7FB991-7BBE-4F9D-B91E-7CB51D4737F5}\ControlSet001\services,,None,Microsoft Input Configuration Driver,Manual,KernelDriver,2010-11-21 03:58:16.4135463,,Extended Base,\SystemRoot\system32\drivers\MTConfig.sys,,
Mup,CMI-CreateHive{2A7FB991-7BBE-4F9D-B91E-7CB51D4737F5}\ControlSet001\services,"@%systemroot%\system32\drivers\mup.sys,-102",None,"@%systemroot%\system32\drivers\mup.sys,-101",Boot,FileSystemDriver,2025-03-10 05:59:07.5312000,2009-07-14 04:49:01.6147883,Network,System32\Drivers\mup.sys,,
napagent,CMI-CreateHive{2A7FB991-7BBE-4F9D-B91E-7CB51D4737F5}\ControlSet001\services,"@%SystemRoot%\system32\qagentrt.dll,-7",None,"@%SystemRoot%\system32\qagentrt.dll,-6",Manual,Win32ShareProcess,2009-07-14 04:49:01.6147883,2009-07-14 04:54:31.3161332,,%SystemRoot%\System32\svchost.exe -k NetworkService,%SystemRoot%\system32\qagentRT.dll,SeChangeNotifyPrivilege SeImpersonatePrivilege
NativeWifiP,CMI-CreateHive{2A7FB991-7BBE-4F9D-B91E-7CB51D4737F5}\ControlSet001\services,,None,NativeWiFi Filter,Manual,KernelDriver,2009-07-14 04:55:01.9857871,,NDIS,system32\DRIVERS\nwifi.sys,,
NDIS,CMI-CreateHive{2A7FB991-7BBE-4F9D-B91E-7CB51D4737F5}\ControlSet001\services,"@%SystemRoot%\system32\drivers\ndis.sys,-201",None,"@%SystemRoot%\system32\drivers\ndis.sys,-200",Boot,KernelDriver,2025-03-10 05:59:07.5312000,2025-02-05 01:02:13.1269522,NDIS Wrapper,system32\drivers\ndis.sys,,
NdisCap,CMI-CreateHive{2A7FB991-7BBE-4F9D-B91E-7CB51D4737F5}\ControlSet001\services,NDIS Capture LightWeight Filter,None,NDIS Capture LightWeight Filter,Manual,KernelDriver,2009-07-14 04:54:38.2113453,2009-07-14 04:54:38.1957453,NDIS,system32\DRIVERS\ndiscap.sys,,
NdisTapi,CMI-CreateHive{2A7FB991-7BBE-4F9D-B91E-7CB51D4737F5}\ControlSet001\services,"@%systemroot%\system32\rascfg.dll,-32001",None,"@%systemroot%\system32\rascfg.dll,-32001",Manual,KernelDriver,2025-03-10 05:59:07.5312000,2009-07-14 04:49:30.4436390,,system32\DRIVERS\ndistapi.sys,,
Ndisuio,CMI-CreateHive{2A7FB991-7BBE-4F9D-B91E-7CB51D4737F5}\ControlSet001\services,,None,NDIS Usermode I/O Protocol,Manual,KernelDriver,2009-07-14 04:49:23.5640269,,NDIS,system32\DRIVERS\ndisuio.sys,,
NdisWan,CMI-CreateHive{2A7FB991-7BBE-4F9D-B91E-7CB51D4737F5}\ControlSet001\services,"@%systemroot%\system32\rascfg.dll,-32002",None,"@%systemroot%\system32\rascfg.dll,-32002",Manual,KernelDriver,2025-03-10 05:59:07.5312000,2009-07-14 04:49:30.6620393,,system32\DRIVERS\ndiswan.sys,,
NDProxy,CMI-CreateHive{2A7FB991-7BBE-4F9D-B91E-7CB51D4737F5}\ControlSet001\services,,None,NDIS Proxy,Manual,KernelDriver,2025-03-10 05:59:07.5312000,,PNP_TDI,,,
NetBIOS,CMI-CreateHive{2A7FB991-7BBE-4F9D-B91E-7CB51D4737F5}\ControlSet001\services,NetBIOS Interface,None,NetBIOS Interface,System,FileSystemDriver,2025-03-10 05:59:07.5312000,2025-02-05 01:01:52.3633157,NetBIOSGroup,system32\DRIVERS\netbios.sys,,
NetBT,CMI-CreateHive{2A7FB991-7BBE-4F9D-B91E-7CB51D4737F5}\ControlSet001\services,"@%SystemRoot%\system32\drivers\netbt.sys,-1",None,"@%SystemRoot%\system32\drivers\netbt.sys,-2",System,KernelDriver,2025-03-10 05:59:07.5312000,2009-07-14 04:53:55.9040710,PNP_TDI,System32\DRIVERS\netbt.sys,,
