Hive,HivePath,HiveType,Description,Category,KeyPath,ValueName,ValueType,ValueData,ValueData2,ValueData3,Comment,Recursive,Deleted,LastWriteTimestamp,PluginDetailFile
NTUSER,C:\Users\mrkdqp\Desktop\noice\Artifact-Acquisition-and-Parser\ExtractedFiles\2025-03-10_14-20-52\C\Users\Default\NTUSER.DAT,NtUser,User Shell Folders,User Activity,CMI-CreateHive{D43B12B8-09B5-40DB-B4F6-F6DFEB78DAEC}\Software\Microsoft\Windows\CurrentVersion\Explorer\User Shell Folders,AppData,RegExpandSz,%USERPROFILE%\AppData\Roaming,,,Displays where a user's Shell folders are mapped to,False,False,2009-07-14 02:35:18.0530191,
NTUSER,C:\Users\mrkdqp\Desktop\noice\Artifact-Acquisition-and-Parser\ExtractedFiles\2025-03-10_14-20-52\C\Users\Default\NTUSER.DAT,NtUser,User Shell Folders,User Activity,CMI-CreateHive{D43B12B8-09B5-40DB-B4F6-F6DFEB78DAEC}\Software\Microsoft\Windows\CurrentVersion\Explorer\User Shell Folders,Cache,RegExpandSz,%USERPROFILE%\AppData\Local\Microsoft\Windows\Temporary Internet Files,,,Displays where a user's Shell folders are mapped to,False,False,2009-07-14 02:35:18.0530191,
NTUSER,C:\Users\mrkdqp\Desktop\noice\Artifact-Acquisition-and-Parser\ExtractedFiles\2025-03-10_14-20-52\C\Users\Default\NTUSER.DAT,NtUser,User Shell Folders,User Activity,CMI-CreateHive{D43B12B8-09B5-40DB-B4F6-F6DFEB78DAEC}\Software\Microsoft\Windows\CurrentVersion\Explorer\User Shell Folders,Cookies,RegExpandSz,%USERPROFILE%\AppData\Roaming\Microsoft\Windows\Cookies,,,Displays where a user's Shell folders are mapped to,False,False,2009-07-14 02:35:18.0530191,
NTUSER,C:\Users\mrkdqp\Desktop\noice\Artifact-Acquisition-and-Parser\ExtractedFiles\2025-03-10_14-20-52\C\Users\Default\NTUSER.DAT,NtUser,User Shell Folders,User Activity,CMI-CreateHive{D43B12B8-09B5-40DB-B4F6-F6DFEB78DAEC}\Software\Microsoft\Windows\CurrentVersion\Explorer\User Shell Folders,Desktop,RegExpandSz,%USERPROFILE%\Desktop,,,Displays where a user's Shell folders are mapped to,False,False,2009-07-14 02:35:18.0530191,
NTUSER,C:\Users\mrkdqp\Desktop\noice\Artifact-Acquisition-and-Parser\ExtractedFiles\2025-03-10_14-20-52\C\Users\Default\NTUSER.DAT,NtUser,User Shell Folders,User Activity,CMI-CreateHive{D43B12B8-09B5-40DB-B4F6-F6DFEB78DAEC}\Software\Microsoft\Windows\CurrentVersion\Explorer\User Shell Folders,Favorites,RegExpandSz,%USERPROFILE%\Favorites,,,Displays where a user's Shell folders are mapped to,False,False,2009-07-14 02:35:18.0530191,
NTUSER,C:\Users\mrkdqp\Desktop\noice\Artifact-Acquisition-and-Parser\ExtractedFiles\2025-03-10_14-20-52\C\Users\Default\NTUSER.DAT,NtUser,User Shell Folders,User Activity,CMI-CreateHive{D43B12B8-09B5-40DB-B4F6-F6DFEB78DAEC}\Software\Microsoft\Windows\CurrentVersion\Explorer\User Shell Folders,History,RegExpandSz,%USERPROFILE%\AppData\Local\Microsoft\Windows\History,,,Displays where a user's Shell folders are mapped to,False,False,2009-07-14 02:35:18.0530191,
NTUSER,C:\Users\mrkdqp\Desktop\noice\Artifact-Acquisition-and-Parser\ExtractedFiles\2025-03-10_14-20-52\C\Users\Default\NTUSER.DAT,NtUser,User Shell Folders,User Activity,CMI-CreateHive{D43B12B8-09B5-40DB-B4F6-F6DFEB78DAEC}\Software\Microsoft\Windows\CurrentVersion\Explorer\User Shell Folders,Local AppData,RegExpandSz,%USERPROFILE%\AppData\Local,,,Displays where a user's Shell folders are mapped to,False,False,2009-07-14 02:35:18.0530191,
NTUSER,C:\Users\mrkdqp\Desktop\noice\Artifact-Acquisition-and-Parser\ExtractedFiles\2025-03-10_14-20-52\C\Users\Default\NTUSER.DAT,NtUser,User Shell Folders,User Activity,CMI-CreateHive{D43B12B8-09B5-40DB-B4F6-F6DFEB78DAEC}\Software\Microsoft\Windows\CurrentVersion\Explorer\User Shell Folders,My Music,RegExpandSz,%USERPROFILE%\Music,,,Displays where a user's Shell folders are mapped to,False,False,2009-07-14 02:35:18.0530191,
NTUSER,C:\Users\mrkdqp\Desktop\noice\Artifact-Acquisition-and-Parser\ExtractedFiles\2025-03-10_14-20-52\C\Users\Default\NTUSER.DAT,NtUser,User Shell Folders,User Activity,CMI-CreateHive{D43B12B8-09B5-40DB-B4F6-F6DFEB78DAEC}\Software\Microsoft\Windows\CurrentVersion\Explorer\User Shell Folders,My Pictures,RegExpandSz,%USERPROFILE%\Pictures,,,Displays where a user's Shell folders are mapped to,False,False,2009-07-14 02:35:18.0530191,
NTUSER,C:\Users\mrkdqp\Desktop\noice\Artifact-Acquisition-and-Parser\ExtractedFiles\2025-03-10_14-20-52\C\Users\Default\NTUSER.DAT,NtUser,User Shell Folders,User Activity,CMI-CreateHive{D43B12B8-09B5-40DB-B4F6-F6DFEB78DAEC}\Software\Microsoft\Windows\CurrentVersion\Explorer\User Shell Folders,My Video,RegExpandSz,%USERPROFILE%\Videos,,,Displays where a user's Shell folders are mapped to,False,False,2009-07-14 02:35:18.0530191,
